name, sugars
Chonga Bagel,5
8-Grain Roll,15
Almond Croissant,13
Banana Nut Bread,30
Birthday Cake Pop,18
Blueberry Muffin,33
Blueberry Oat Cake,33
Blueberry Scone,22
Butter Croissant,5
Cheese Danish,11
Chocolate Cake Pop,18
Chocolate Chip Cookie,31
Chocolate Chip Cookie Dough Cake Pop,12
Chocolate Croissant,13
Cinnamon Raisin Bagel,11
Classic Coffee Cake,21
Confetti Sugar Cookie,36
Double Chocolate Chunk Brownie,37
Everybody's Favorite - Bantam Bagel (2 Pack),2
Everything Bagel,5
French Toast - Bantam Bagels (2 Pack),4
Frosted Doughnut Cake Pop,23
Gluten-Free Marshmallow Dream Bar,24
Iced Lemon Loaf Cake,42
Morning Bun,14
Old-Fashioned Glazed Doughnut,30
Petite Vanilla Bean Scone,8
Plain Bagel,2
Pumpkin Bread,39
Sprouted Grain Vegan Bagel,4
Strawberry Cake Pop,16
The Classic - Bantam Bagels (2 Pack),2
Cage-Free Eggs & Seasoned Grains Side Salad,4
Cauliflower Tabbouleh Side Salad,3
Chicken & Fig Spread,15
Chipotle Chicken Wrap,6
Farmers' Market Protein Box,12
Garden Greens & Shaved Parmesan Side Salad,4
Grilled Chicken & Cauliflower Tabbouleh,7
Honey BBQ Sriracha Chicken,9
Roasted Carrot & Kale Side Salad,6
Roasted Turkey & Dill Havarti,4
Seasoned Turkey & Green Pepper Pico,8
Smoked Mozzarella & Roasted Peppers,8
Smoked Pork Cubano,3
Strawberry & Toasted Almonds Overnight Grains,16
Turkey Pastrami Reuben,3
Za'atar Chicken & Lemon Tahini,16
Chicken BLT Protein Box,20
Chicken Wrap Protein Box,0
Creminelli Sopressata Monterey Jack Snack Tray,0
Eggs & Cheese Protein Box,21
Lentils & Vegetable Protein Bowl with Brown Rice,10
PB&J Protein Box,30
Smoked Turkey Protein Box,20
Bacon Gouda & Egg Breakfast Sandwich,2
Chicken Sausage & Bacon Biscuit,8
Classic Oatmeal,0
Double-Smoked Bacon,1
Ham & Cheese Croissant,5
Hearty Blueberry Oatmeal,13
Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,2
Roasted Ham,0
Sausage Cheddar & Egg Breakfast Sandwich,2
Smoked Shoulder Bacon Breakfast Sandwich,4
Sous Vide Egg Bites: Bacon & Gruyere,2
Sous Vide Egg Bites: Chicken Chorizo Tortilla,2
Sous Vide Egg Bites: Egg White & Red Pepper,2
Sous Vide Egg Bites: Ham Cheddar & Peppers,1
Spicy Chorizo Monterey Jack & Egg Breakfast Sandwich,5
Spinach Feta & Cage Free Egg White Breakfast Wrap,5
Baja Black Bean Veggie Wrap,5
Chicken & Double-Smoked Bacon,11
Chicken Caprese,3
Crispy Grilled Cheese Sandwich,1
Ham & Swiss Panini,2
Tomato & Mozzarella,2
Turkey Pesto Panini,3
Avocado Spread,0
Berry Trio Parfait,26
Fresh Blueberries and Honey Greek Yogurt Parfait,29
Justin's Chocolate Hazelnut Butter,7
Justin's Classic Almond Butter,1
Lemon Crunch Yogurt Parfait,29
Mango & Coconut Yogurt Bowl,26
Vegan Superberry Açaí,262