Category,Name,Calories,Calories from Fat,Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Portion
Bakery,Chonga Bagel,300.0,45.0,5.0,2.0,0.0,10.0,530.0,50.0,3.0,5.0,12.0,113 g
Bakery,8-Grain Roll,340.0,40.0,5.0,0.5,0.0,0.0,430.0,68.0,4.0,15.0,9.0,127 g
Bakery,Almond Croissant,420.0,190.0,22.0,9.0,0.5,75.0,390.0,45.0,3.0,13.0,10.0,99 g
Bakery,Banana Nut Bread,420.0,190.0,22.0,3.0,0.0,65.0,320.0,52.0,2.0,30.0,6.0,125 g
Bakery,Birthday Cake Pop,170.0,80.0,9.0,5.0,0.0,10.0,110.0,23.0,0.0,18.0,1.0,43 g
Bakery,Blueberry Muffin,360.0,130.0,15.0,3.0,0.0,50.0,270.0,52.0,1.0,33.0,5.0,110 g
Bakery,Blueberry Oat Cake,390.0,110.0,12.0,1.0,0.0,0.0,430.0,71.0,7.0,33.0,7.0,128 g
Bakery,Blueberry Scone,380.0,150.0,17.0,10.0,0.0,70.0,350.0,54.0,2.0,22.0,6.0,100 g
Bakery,Butter Croissant,260.0,30.0,15.0,10.0,1.0,40.0,320.0,27.0,1.0,5.0,5.0,62 g
Bakery,Cheese Danish,290.0,130.0,14.0,0.0,0.5,45.0,400.0,33.0,1.0,11.0,7.0,80 g
Bakery,Chocolate Cake Pop,160.0,70.0,8.0,4.5,0.0,15.0,80.0,23.0,1.0,18.0,2.0,43 g
Bakery,Chocolate Chip Cookie,360.0,100.0,18.0,11.0,0.5,60.0,220.0,47.0,2.0,31.0,6.0,80 g
Bakery,Chocolate Chip Cookie Dough Cake Pop,180.0,80.0,9.0,5.0,0.0,10.0,80.0,23.0,0.0,12.0,2.0,38 g
Bakery,Chocolate Croissant,340.0,180.0,20.0,12.0,0.5,50.0,280.0,38.0,2.0,13.0,5.0,80 g
Bakery,Cinnamon Raisin Bagel,270.0,15.0,1.0,0.0,0.0,0.0,370.0,58.0,3.0,11.0,9.0,99 g
Bakery,Classic Coffee Cake,330.0,140.0,15.0,8.0,0.5,70.0,270.0,43.0,1.0,21.0,4.0,109 g
Bakery,Confetti Sugar Cookie,410.0,190.0,21.0,16.0,0.5,60.0,220.0,54.0,0.0,36.0,4.0,92 g
Bakery,Double Chocolate Chunk Brownie,480.0,250.0,28.0,9.0,0.0,75.0,220.0,55.0,3.0,37.0,6.0,104 fl oz
Bakery,Everybody's Favorite - Bantam Bagel (2 Pack),200.0,60.0,8.0,4.0,0.0,20.0,280.0,28.0,0.0,2.0,6.0,74 g
Bakery,Everything Bagel,290.0,40.0,4.0,1.0,0.0,5.0,450.0,53.0,3.0,5.0,11.0,100 g
Bakery,French Toast - Bantam Bagels (2 Pack),200.0,60.0,8.0,4.0,0.0,20.0,360.0,30.0,0.0,4.0,6.0,74 g
Bakery,Frosted Doughnut Cake Pop,390.0,200.0,23.0,14.0,0.0,30.0,140.0,45.0,1.0,23.0,4.0,82 g
Bakery,Gluten-Free Marshmallow Dream Bar,230.0,45.0,5.0,3.5,0.0,15.0,220.0,44.0,0.0,24.0,1.0,60 g
Bakery,Iced Lemon Loaf Cake,470.0,180.0,20.0,9.0,0.5,100.0,310.0,68.0,1.0,42.0,6.0,126 g
Bakery,Morning Bun,420.0,200.0,22.0,13.0,1.0,160.0,440.0,46.0,1.0,14.0,9.0,94 g
Bakery,Old-Fashioned Glazed Doughnut,480.0,240.0,27.0,13.0,0.0,20.0,410.0,56.0,1.0,30.0,5.0,113 g
Bakery,Petite Vanilla Bean Scone,120.0,40.0,4.5,2.0,0.0,15.0,95.0,18.0,0.0,8.0,2.0,33 g
Bakery,Plain Bagel,280.0,15.0,1.5,0.0,0.0,0.0,620.0,56.0,2.0,2.0,9.0,108 g
Bakery,Pumpkin Bread,410.0,140.0,15.0,2.5,0.0,55.0,500.0,63.0,2.0,39.0,6.0,123 g
Bakery,Sprouted Grain Vegan Bagel,330.0,60.0,6.0,0.5,0.0,0.0,490.0,57.0,7.0,4.0,12.0,113 g
Bakery,Strawberry Cake Pop,160.0,70.0,8.0,4.0,0.0,10.0,80.0,22.0,0.0,16.0,4.0,41 g
Bakery,The Classic - Bantam Bagels (2 Pack),200.0,60.0,8.0,4.0,0.0,20.0,270.0,28.0,0.0,2.0,6.0,74 g
Mercato,Cage-Free Eggs & Seasoned Grains Side Salad,360.0,160.0,18.0,4.0,0.0,370.0,460.0,33.0,3.0,4.0,17.0,163 g
Mercato,Cauliflower Tabbouleh Side Salad,130.0,100.0,12.0,1.5,0.0,0.0,520.0,7.0,3.0,3.0,2.0,163 g
Mercato,Chicken & Fig Spread,460.0,120.0,13.0,2.5,0.0,50.0,940.0,61.0,5.0,15.0,24.0,180 g
Mercato,Chipotle Chicken Wrap,470.0,170.0,19.0,7.0,0.0,60.0,1050.0,55.0,4.0,6.0,22.0,249 g
Mercato,Farmers' Market Protein Box,470.0,260.0,29.0,10.0,0.0,60.0,880.0,29.0,4.0,12.0,21.0,296 g
Mercato,Garden Greens & Shaved Parmesan Side Salad,170.0,120.0,13.0,4.0,0.0,10.0,600.0,9.0,2.0,4.0,7.0,147 g
Mercato,Grilled Chicken & Cauliflower Tabbouleh,390.0,240.0,27.0,5.0,0.0,50.0,1140.0,15.0,4.0,7.0,21.0,305 g
Mercato,Honey BBQ Sriracha Chicken,370.0,0.0,8.0,1.5,0.0,45.0,1090.0,54.0,2.0,9.0,22.0,166 g
Mercato,Roasted Carrot & Kale Side Salad,440.0,230.0,26.0,3.0,0.0,0.0,400.0,44.0,7.0,6.0,10.0,178 g
Mercato,Roasted Turkey & Dill Havarti,580.0,280.0,31.0,9.0,0.0,65.0,860.0,46.0,5.0,4.0,32.0,198 g
Mercato,Seasoned Turkey & Green Pepper Pico,390.0,160.0,18.0,6.0,0.0,130.0,900.0,30.0,5.0,8.0,28.0,319.7 g
Mercato,Smoked Mozzarella & Roasted Peppers,540.0,250.0,28.0,9.0,0.0,60.0,1190.0,53.0,4.0,8.0,19.0,184 g
Mercato,Smoked Pork Cubano,450.0,230.0,25.0,8.0,0.0,65.0,1200.0,66.0,5.0,3.0,21.0,154 g
Mercato,Strawberry & Toasted Almonds Overnight Grains,410.0,220.0,24.0,18.0,0.0,0.0,35.0,42.0,5.0,16.0,7.0,198 g
Mercato,Turkey Pastrami Reuben,500.0,190.0,21.0,7.0,0.0,65.0,1130.0,50.0,4.0,3.0,26.0,191 g
Mercato,Za'atar Chicken & Lemon Tahini,430.0,190.0,21.0,3.5,0.0,50.0,880.0,42.0,4.0,16.0,21.0,354 g
Protein Boxes,Chicken BLT Protein Box,580.0,210.0,23.0,3.0,0.0,80.0,1660.0,58.0,7.0,20.0,35.0,368 g
Protein Boxes,Chicken Wrap Protein Box,690.0,280.0,31.0,10.0,0.0,65.0,1000.0,77.0,6.0,0.0,30.0,436 g
Protein Boxes,Creminelli Sopressata Monterey Jack Snack Tray,220.0,140.0,17.0,8.0,0.0,65.0,720.0,0.0,0.0,0.0,15.0,62 g
Protein Boxes,Eggs & Cheese Protein Box,470.0,230.0,25.0,7.0,0.0,385.0,540.0,40.0,5.0,21.0,23.0,250 fl oz
Protein Boxes,Lentils & Vegetable Protein Bowl with Brown Rice,650.0,260.0,29.0,3.5,0.0,0.0,670.0,80.0,21.0,10.0,23.0,411 g
Protein Boxes,PB&J Protein Box,520.0,230.0,26.0,7.0,0.0,25.0,570.0,54.0,4.0,30.0,20.0,210 fl oz
Protein Boxes,Smoked Turkey Protein Box,570.0,210.0,23.0,10.0,0.5,90.0,1620.0,54.0,7.0,20.0,35.0,385 g
Hot Breakfast,Bacon Gouda & Egg Breakfast Sandwich,370.0,160.0,18.0,7.0,0.0,170.0,780.0,33.0,1.0,2.0,18.0,116 g
Hot Breakfast,Chicken Sausage & Bacon Biscuit,450.0,200.0,22.0,9.0,0.0,85.0,1160.0,35.0,1.0,8.0,26.0,132 g
Hot Breakfast,Classic Oatmeal,160.0,25.0,2.5,0.5,0.0,0.0,125.0,28.0,4.0,0.0,5.0,42 g
Hot Breakfast,Double-Smoked Bacon, Cheddar & Egg Sandwich,520.0,260.0,29.0,14.0,0.0,205.0,1050.0,42.0,1.0,8.0,24.0,148 g
Hot Breakfast,Ham & Cheese Croissant,320.0,150.0,17.0,9.0,0.5,65.0,490.0,28.0,1.0,5.0,14.0,102 g
Hot Breakfast,Hearty Blueberry Oatmeal,220.0,25.0,2.5,0.5,0.0,0.0,125.0,43.0,5.0,13.0,5.0,90 g
Hot Breakfast,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230.0,50.0,5.0,2.0,0.0,20.0,550.0,28.0,3.0,2.0,18.0,120 g
Hot Breakfast,Roasted Ham, Swiss & Egg Breakfast Sandwich,460.0,210.0,23.0,13.0,0.0,240.0,920.0,43.0,0.0,7.0,21.0,162 g
Hot Breakfast,Sausage Cheddar & Egg Breakfast Sandwich,480.0,260.0,29.0,10.0,0.0,165.0,880.0,34.0,1.0,2.0,18.0,157 g
Hot Breakfast,Smoked Shoulder Bacon Breakfast Sandwich,550.0,280.0,31.0,14.0,0.0,265.0,1170.0,39.0,2.0,4.0,26.0,193 g
Hot Breakfast,Sous Vide Egg Bites: Bacon & Gruyere,300.0,180.0,20.0,12.0,0.0,215.0,680.0,9.0,0.0,2.0,19.0,130 g
Hot Breakfast,Sous Vide Egg Bites: Chicken Chorizo Tortilla,230.0,120.0,13.0,7.0,0.0,210.0,690.0,13.0,0.0,2.0,15.0,130 g
Hot Breakfast,Sous Vide Egg Bites: Egg White & Red Pepper,170.0,70.0,7.0,5.0,0.0,25.0,500.0,13.0,1.0,2.0,13.0,130 g
Hot Breakfast,Sous Vide Egg Bites: Ham Cheddar & Peppers,250.0,140.0,16.0,10.0,0.0,175.0,460.0,11.0,0.0,1.0,17.0,130 g
Hot Breakfast,Spicy Chorizo Monterey Jack & Egg Breakfast Sandwich,470.0,220.0,24.0,10.0,0.0,175.0,950.0,36.0,0.0,5.0,24.0,168 g
Hot Breakfast,Spinach Feta & Cage Free Egg White Breakfast Wrap,280.0,70.0,8.0,3.0,0.0,20.0,830.0,34.0,4.0,5.0,20.0,159 g
"Sandwiches Paninis & Salads",Baja Black Bean Veggie Wrap,570.0,200.0,22.0,11.0,0.0,40.0,1300.0,73.0,7.0,5.0,21.0,288 g
"Sandwiches Paninis & Salads",Chicken & Double-Smoked Bacon,620.0,230.0,26.0,8.0,0.0,110.0,1460.0,65.0,3.0,11.0,31.0,201 g
"Sandwiches Paninis & Salads",Chicken Caprese,500.0,160.0,18.0,6.0,0.0,65.0,900.0,58.0,3.0,3.0,28.0,208 g
"Sandwiches Paninis & Salads",Crispy Grilled Cheese Sandwich,540.0,260.0,29.0,16.0,0.5,75.0,1060.0,47.0,4.0,1.0,21.0,143 g
"Sandwiches Paninis & Salads",Ham & Swiss Panini,490.0,220.0,24.0,10.0,0.0,80.0,1250.0,42.0,0.0,2.0,25.0,176 g
"Sandwiches Paninis & Salads",Tomato & Mozzarella,350.0,120.0,13.0,5.0,0.0,20.0,580.0,42.0,3.0,2.0,15.0,145 g
"Sandwiches Paninis & Salads",Turkey Pesto Panini,540.0,190.0,21.0,6.0,0.0,70.0,1190.0,55.0,3.0,3.0,33.0,201 g
"Yogurt Fruit & Spreads",Avocado Spread,90.0,70.0,8.0,1.0,0.0,0.0,210.0,5.0,4.0,0.0,1.0,57 g
"Yogurt Fruit & Spreads",Berry Trio Parfait,240.0,20.0,2.5,0.0,0.0,5.0,125.0,39.0,3.0,26.0,14.0,164 g
"Yogurt Fruit & Spreads",Fresh Blueberries and Honey Greek Yogurt Parfait,240.0,25.0,2.5,0.0,0.0,5.0,100.0,42.0,2.0,29.0,14.0,177 g
"Yogurt Fruit & Spreads",Justin's Chocolate Hazelnut Butter,180.0,130.0,14.0,2.5,0.0,0.0,65.0,12.0,3.0,7.0,4.0,32 g
"Yogurt Fruit & Spreads",Justin's Classic Almond Butter,190.0,160.0,18.0,2.5,0.0,0.0,0.0,6.0,3.0,1.0,7.0,32 g
"Yogurt Fruit & Spreads",Lemon Crunch Yogurt Parfait,330.0,110.0,12.0,6.0,0.0,65.0,90.0,42.0,1.0,29.0,14.0,162 g
"Yogurt Fruit & Spreads",Mango & Coconut Yogurt Bowl,250.0,50.0,6.0,4.5,0.0,5.0,60.0,34.0,3.0,26.0,16.0,209 g
"Yogurt Fruit & Spreads",Vegan Superberry Açaí,340.0,110.0,12.0,6.0,0.0,55.0,140.0,55.0,8.0,262.0,6.0,215 g
